Batch Size,Epochs,Train MAE,Train MSE,Train RMSE,Train R2,Test MAE,Test MSE,Test RMSE,Test R2
64,100,0.33373934,0.17685641,0.420543,0.996976375579834,2.1253617,15.366194,3.9199736,0.8130863308906555
64,500,0.09215547,0.016044835,0.1266682,0.9997256994247437,1.8583606,15.29199,3.9104974,0.8139889240264893
64,1000,0.06374016,0.008222289,0.09067684,0.9998594522476196,1.8595064,15.356438,3.918729,0.8132050037384033
64,2000,0.050914884,0.005500536,0.0741656,0.9999059438705444,1.8343407,15.211292,3.9001656,0.8149705529212952
64,4000,0.04559319,0.004820453,0.06942948,0.9999175667762756,1.8486931,15.337748,3.9163437,0.8134323358535767
64,8000,0.039585434,0.0034980108,0.059143983,0.9999402165412903,1.8332894,15.266376,3.9072208,0.814300537109375
128,100,0.3568228,0.1978327,0.4447839,0.9966177344322205,2.181897,15.031328,3.8770256,0.8171596527099609
128,500,0.13799481,0.037718505,0.19421253,0.999355137348175,1.8774673,15.122665,3.888787,0.8160486221313477
128,1000,0.07667528,0.01180201,0.10863706,0.9997982382774353,1.8672111,15.325493,3.9147787,0.8135814070701599
128,2000,0.056227993,0.0068691564,0.08288037,0.9998825788497925,1.8601495,15.376021,3.921227,0.8129668235778809
128,4000,0.05166933,0.0061305147,0.0782976,0.9998952150344849,1.8535635,15.29913,3.9114103,0.8139020800590515
128,8000,0.040627405,0.0036309436,0.060257312,0.9999379515647888,1.8420986,15.3132305,3.9132123,0.8137305974960327
256,100,0.6603453,0.72820204,0.85334754,0.9875501990318298,2.1383889,14.014885,3.743646,0.8295235633850098
256,500,0.20474933,0.06536201,0.25565994,0.998882532119751,1.968391,14.974616,3.869705,0.8178494572639465
256,1000,0.1499813,0.038965955,0.19739796,0.9993337988853455,1.8845427,15.039542,3.878085,0.8170596957206726
256,2000,0.070236824,0.00925938,0.09622567,0.9998416900634766,1.8460469,15.29945,3.911451,0.8138982057571411
256,4000,0.053562123,0.005719958,0.075630404,0.9999021887779236,1.8452435,15.278517,3.9087744,0.8141528367996216
256,8000,0.041929036,0.0039500124,0.06284913,0.9999324679374695,1.839912,15.280632,3.909045,0.8141270875930786
512,100,0.8412942,1.1084051,1.0528082,0.9810500144958496,2.2502084,14.398534,3.79454,0.8248568773269653
512,500,0.37632793,0.21072897,0.45905226,0.9963972568511963,2.005849,14.744234,3.839822,0.8206518292427063
512,1000,0.19855726,0.06003027,0.24501075,0.9989736676216125,1.9412037,15.032844,3.877221,0.8171411752700806
512,2000,0.1266783,0.028216762,0.16797847,0.999517560005188,1.8789251,15.125656,3.8891716,0.8160122632980347
512,4000,0.073952846,0.010501311,0.102475904,0.9998204708099365,1.8656485,15.322799,3.9144347,0.8136141896247864
512,8000,0.052777916,0.0064507397,0.0803165,0.9998897314071655,1.8492358,15.300747,3.9116168,0.8138824105262756
1024,100,2.4780095,10.942322,3.307918,0.8129234910011292,3.8831255,33.84542,5.817682,0.5883058905601501
1024,500,0.3537049,0.1930965,0.43942747,0.9966986775398254,2.0964859,14.873805,3.8566573,0.8190757036209106
1024,1000,0.22281018,0.077678874,0.2787093,0.9986719489097595,1.9932929,15.149674,3.8922582,0.8157200813293457
1024,2000,0.12715095,0.02827982,0.16816606,0.999516487121582,1.885138,15.1895,3.8973708,0.8152356147766113
1024,4000,0.09104256,0.0144701125,0.120291784,0.9997525811195374,1.8529631,15.218167,3.901047,0.8148869276046753
1024,8000,0.0638894,0.008892235,0.09429865,0.999847948551178,1.8852843,15.318052,3.9138284,0.8136719465255737
