2.72207972210372,25.9570397649806,2.68249096732144,853.57%
10.0008627425866,35.6958936816417,10,256.93%
20,45.4628396735826,20,127.31%
30,55.2436491040201,30,84.15%
40,65.0342712634885,40,62.59%
50,74.848603483338,50,49.70%
60,84.6710358855933,60,41.12%
70,94.4938124800953,70,34.99%
80,104.317906789725,80,30.40%
90,114.142001099355,90,26.82%
100,123.966095408986,100,23.97%
110,133.790189718616,110,21.63%
120,143.614284028246,120,19.68%
130,153.438378337876,130,18.03%
140,163.262472647506,140,16.62%
150,173.086566957136,150,15.39%
160,182.910661266766,160,14.32%
170,192.735598373633,170,13.37%
180,202.561343435829,180,12.53%
190,212.387088498024,190,11.78%
200,222.212833560219,200,11.11%
210,232.038578622415,210,10.49%
220,241.86432368461,220,9.94%
230,251.690068746806,230,9.43%
240,261.516107218318,240,8.97%
250,271.34349038818,250,8.54%
260,281.170873558042,260,8.14%
270,290.998256727904,270,7.78%
280,300.825639897766,280,7.44%
290,310.653023067628,290,7.12%
300,320.481302750366,300,6.83%
